PERIOD_BEGIN,PERIOD_END,PERIOD_DURATION,REGION_TYPE,REGION_TYPE_ID,TABLE_ID,IS_SEASONALLY_ADJUSTED,Zip Code,City,County,STATE,STATE_CODE_x,PROPERTY_TYPE,PROPERTY_TYPE_ID,MEDIAN_SALE_PRICE,MEDIAN_SALE_PRICE_MOM,MEDIAN_SALE_PRICE_YOY,MEDIAN_LIST_PRICE,MEDIAN_LIST_PRICE_MOM,MEDIAN_LIST_PRICE_YOY,MEDIAN_PPSF,MEDIAN_PPSF_MOM,MEDIAN_PPSF_YOY,MEDIAN_LIST_PPSF,MEDIAN_LIST_PPSF_MOM,MEDIAN_LIST_PPSF_YOY,HOMES_SOLD,HOMES_SOLD_MOM,HOMES_SOLD_YOY,PENDING_SALES,PENDING_SALES_MOM,PENDING_SALES_YOY,NEW_LISTINGS,NEW_LISTINGS_MOM,NEW_LISTINGS_YOY,INVENTORY,INVENTORY_MOM,INVENTORY_YOY,MEDIAN_DOM,MEDIAN_DOM_MOM,MEDIAN_DOM_YOY,AVG_SALE_TO_LIST,AVG_SALE_TO_LIST_MOM,AVG_SALE_TO_LIST_YOY,SOLD_ABOVE_LIST,SOLD_ABOVE_LIST_MOM,SOLD_ABOVE_LIST_YOY,OFF_MARKET_IN_TWO_WEEKS,OFF_MARKET_IN_TWO_WEEKS_MOM,OFF_MARKET_IN_TWO_WEEKS_YOY,PARENT_METRO_REGION,PARENT_METRO_REGION_METRO_CODE,REGION,LAST_UPDATED
2012-07-01,2012-09-30,90,zip code,2,37448,FALSE,90001,Los Angeles,Los Angeles County,California,CA,All Residential,-1,169900,-0.095795636,-0.108136483,199750,0.013959391,0.109722222,131.6628702,-0.019950411,-0.118973038,160.4224656,0.046323555,0.127793752,59,-0.202702703,0.017241379,63,-0.059701493,-0.307692308,70,-0.027777778,-0.357798165,51,0.02,-0.514285714,49,4.5,-3,0.999723833,-0.008816212,0.01090419,0.305084746,-0.073293633,-0.091466978,0.190476191,-0.033404407,-0.029304029,"Los Angeles, CA",31084,SoCal,2026-01-12 14:43:38.223 Z
2012-11-01,2013-01-31,90,zip code,2,37448,FALSE,90001,Los Angeles,Los Angeles County,California,CA,All Residential,-1,189500,-0.028205128,0.081312411,194950,-0.107576104,0.083657588,148.1386749,0.006793108,0.025566654,161.2500512,0.032956685,0.153158888,62,0.068965517,-0.060606061,68,-0.042253521,-0.093333333,68,0.03030303,-0.268817204,42,0.076923077,-0.596153846,45,0,10,1.002909274,0.007644995,0.036940364,0.370967742,-0.025583982,0.083088954,0.323529412,-0.014498757,0.110196078,"Los Angeles, CA",31084,SoCal,2026-01-12 14:43:38.223 Z
2013-06-01,2013-08-31,90,zip code,2,37448,FALSE,90001,Los Angeles,Los Angeles County,California,CA,All Residential,-1,245260,0.090044444,0.30526876,256500,0.005882353,0.302030457,194.9713419,0.122865594,0.45129438,189.4546884,-0.017601056,0.235680442,46,-0.233333333,-0.378378378,64,0.015873016,-0.044776119,66,0.015384615,-0.083333333,51,-0.019230769,0.02,31,8,-13.5,0.997137207,0.010247106,-0.011402838,0.347826087,-0.052173913,-0.030552291,0.328125,-0.005208333,0.104244403,"Los Angeles, CA",31084,SoCal,2026-01-12 14:43:38.223 Z
2016-11-01,2017-01-31,90,zip code,2,37448,FALSE,90001,Los Angeles,Los Angeles County,California,CA,All Residential,-1,355000,-0.013888889,0.112852665,379000,0.055710306,0.114705882,292.8870293,0,0.092339675,303.4188034,0.012976812,0.193768703,37,-0.212765957,0.057142857,46,-0.021276596,-0.06122449,55,0.12244898,-0.112903226,53,0.039215686,-0.131147541,64,2,27,0.968421999,-0.005959909,-0.015658046,0.324324324,0.005175388,-0.075675676,0.173913044,0.024976873,-0.009760426,"Los Angeles, CA",31084,SoCal,2026-01-12 14:43:38.223 Z
2018-12-01,2019-02-28,90,zip code,2,37448,FALSE,90001,Los Angeles,Los Angeles County,California,CA,All Residential,-1,430000,0,-0.036954087,489000,-0.006097561,0.08908686,305.3233697,-0.07038014,0.032789485,315.058114,0.014118857,-0.051524779,24,-0.172413793,-0.466666667,28,0.037037037,-0.517241379,44,0,-0.228070175,48,0.021276596,0.11627907,63,14.5,18,1.004717094,-0.006500044,0.002495143,0.375,-0.107758621,-0.002777778,0.357142857,0.134920635,0.167487685,"Los Angeles, CA",31084,SoCal,2026-01-12 14:43:38.223 Z
2019-02-01,2019-04-30,90,zip code,2,37448,FALSE,90001,Los Angeles,Los Angeles County,California,CA,All Residential,-1,430000,0,0.023809524,445000,-0.051172708,0.047058824,332.7153955,0.004318385,0.033977075,353.125,0.142696629,0.072071359,29,0.035714286,-0.408163265,34,0.214285714,-0.433333333,39,-0.093023256,-0.426470588,38,-0.025641026,-0.173913044,42,-6,0,0.997943739,-0.011415504,-0.014182235,0.448275862,0.019704434,0.101337087,0.235294118,-0.157563025,-0.098039216,"Los Angeles, CA",31084,SoCal,2026-01-12 14:43:38.223 Z
2020-06-01,2020-08-31,90,zip code,2,37448,FALSE,90001,Los Angeles,Los Angeles County,California,CA,All Residential,-1,500000,0,0.091703057,490000,-0.048451306,0.072210066,332.3816561,0.000816027,-0.106182373,403.6164844,0.121605818,0.142837551,36,0.058823529,-0.027027027,44,0.047619048,-0.169811321,41,-0.068181818,-0.280701754,30,-0.0625,-0.318181818,45,-6,3,0.985210125,-0.005202624,-0.005022593,0.416666667,0.034313725,0.011261261,0.340909091,0.055194805,0.001286449,"Los Angeles, CA",31084,SoCal,2026-01-12 14:43:38.223 Z
2021-07-01,2021-09-30,90,zip code,2,37448,FALSE,90001,Los Angeles,Los Angeles County,California,CA,All Residential,-1,550000,0.018518519,0.116751269,599000,0.032852112,0.224948875,428.5714286,0.08958599,0.185263274,401.0067114,-0.023838481,-0.008351628,41,-0.068181818,0.138888889,39,0.026315789,-0.204081633,59,-0.106060606,0.311111111,54,0.018867925,0.542857143,27,-10,-14.5,0.997370058,0.000462385,0.012321098,0.56097561,0.06097561,0.227642276,0.41025641,-0.0634278,0.083725798,"Los Angeles, CA",31084,SoCal,2026-01-12 14:43:38.223 Z
2022-03-01,2022-05-31,90,zip code,2,37448,FALSE,90001,Los Angeles,Los Angeles County,California,CA,All Residential,-1,587000,0.067272727,0.092093023,602499.5,0.004167507,0.169901942,460.5175491,0.059921343,0.25452946,448.3565576,0.024816453,0.028756585,38,0.085714286,-0.05,40,0.111111111,-0.344262295,68,0.283018868,0.387755102,59,0.113207547,0.512820513,48,5,-7,1.03189448,-0.004956049,0.035633297,0.657894737,-0.056390977,0.282894737,0.375,-0.097222222,0.014344262,"Los Angeles, CA",31084,SoCal,2026-01-12 14:43:38.223 Z
2024-04-01,2024-06-30,90,zip code,2,37448,FALSE,90001,Los Angeles,Los Angeles County,California,CA,All Residential,-1,635000,0.007936508,0.008737093,699000,0.013044946,0.093896714,446.5594319,-0.018278074,0.083322277,420.1628151,0,-0.036552688,36,0.028571429,-0.1,35,-0.027777778,-0.125,43,0.048780488,-0.044444444,46,0.15,0.314285714,36.5,-0.5,-13,1.019415918,0.005021478,0.021781732,0.638888889,-0.018253968,0.238888889,0.342857143,0.00952381,0.092857143,"Los Angeles, CA",31084,SoCal,2026-01-12 14:43:38.223 Z
