Zip Code,City,County,Market Score
90001,Los Angeles,Los Angeles County,49
90002,Los Angeles,Los Angeles County,69
90003,Los Angeles,Los Angeles County,57
90004,Los Angeles,Los Angeles County,46
90005,Los Angeles,Los Angeles County,31
90006,Los Angeles,Los Angeles County,49
90007,Los Angeles,Los Angeles County,15
90008,Los Angeles,Los Angeles County,55
90010,Los Angeles,Los Angeles County,44
90011,Los Angeles,Los Angeles County,50
90012,Los Angeles,Los Angeles County,47
90013,Los Angeles,Los Angeles County,28
90014,Los Angeles,Los Angeles County,17
90015,Los Angeles,Los Angeles County,27
90016,Los Angeles,Los Angeles County,63
90017,Los Angeles,Los Angeles County,21
90018,Los Angeles,Los Angeles County,36
90019,Los Angeles,Los Angeles County,46
90020,Los Angeles,Los Angeles County,34
90021,Los Angeles,Los Angeles County,/
90022,Los Angeles,Los Angeles County,68
90023,Los Angeles,Los Angeles County,50
90024,Los Angeles,Los Angeles County,50
90025,Los Angeles,Los Angeles County,55
90026,Los Angeles,Los Angeles County,74
90027,Los Angeles,Los Angeles County,62
90028,Los Angeles,Los Angeles County,32
90029,Los Angeles,Los Angeles County,49
90031,Los Angeles,Los Angeles County,61
90032,Los Angeles,Los Angeles County,66
90033,Los Angeles,Los Angeles County,51
90034,Los Angeles,Los Angeles County,75
90035,Los Angeles,Los Angeles County,53
90036,Los Angeles,Los Angeles County,52
90037,Los Angeles,Los Angeles County,51
90038,Los Angeles,Los Angeles County,18
90039,Los Angeles,Los Angeles County,77
90040,Los Angeles,Los Angeles County,80
90041,Los Angeles,Los Angeles County,80
90042,Los Angeles,Los Angeles County,74
90043,Los Angeles,Los Angeles County,54
90044,Los Angeles,Los Angeles County,61
90045,Los Angeles,Los Angeles County,75
90046,Los Angeles,Los Angeles County,36
90047,Los Angeles,Los Angeles County,63
90048,Los Angeles,Los Angeles County,48
90049,Los Angeles,Los Angeles County,50
90050,Los Angeles,Los Angeles County,/
90056,Los Angeles,Los Angeles County,48
90057,Los Angeles,Los Angeles County,55
90058,Los Angeles,Los Angeles County,/
90059,Los Angeles,Los Angeles County,73
90061,Los Angeles,Los Angeles County,73
90062,Los Angeles,Los Angeles County,53
90063,Los Angeles,Los Angeles County,62
90064,Los Angeles,Los Angeles County,81
90065,Los Angeles,Los Angeles County,69
90066,Los Angeles,Los Angeles County,76
90067,Los Angeles,Los Angeles County,36
90068,Los Angeles,Los Angeles County,43
90076,Los Angeles,Los Angeles County,/
90077,Los Angeles,Los Angeles County,29
90081,Los Angeles,Los Angeles County,/
90082,Los Angeles,Los Angeles County,/
90093,Los Angeles,Los Angeles County,/
90094,Los Angeles,Los Angeles County,67
90099,Los Angeles,Los Angeles County,/
90101,Los Angeles,Los Angeles County,/
92602,Irvine,Orange County,48
92603,Irvine,Orange County,63
92604,Irvine,Orange County,69
92606,Irvine,Orange County,55
92612,Irvine,Orange County,49
92614,Irvine,Orange County,71
92618,Irvine,Orange County,42
92620,Irvine,Orange County,54
92701,Santa Ana,Orange County,61
92703,Santa Ana,Orange County,56
92704,Santa Ana,Orange County,76
92705,Santa Ana,Orange County,59
92706,Santa Ana,Orange County,70
92707,Santa Ana,Orange County,73
92711,Santa Ana,Orange County,/
92401,San Bernardino,San Bernardino County,/
92402,San Bernardino,San Bernardino County,56
92404,San Bernardino,San Bernardino County,70
92405,San Bernardino,San Bernardino County,57
92407,San Bernardino,San Bernardino County,68
92408,San Bernardino,San Bernardino County,73
92410,San Bernardino,San Bernardino County,57
92411,San Bernardino,San Bernardino County,76
92413,San Bernardino,San Bernardino County,/
92101,San Diego,San Diego County,55
92102,San Diego,San Diego County,75
92103,San Diego,San Diego County,65
92104,San Diego,San Diego County,79
92105,San Diego,San Diego County,75
92106,San Diego,San Diego County,69
92107,San Diego,San Diego County,74
92108,San Diego,San Diego County,66
92109,San Diego,San Diego County,68
92110,San Diego,San Diego County,76
92111,San Diego,San Diego County,75
92113,San Diego,San Diego County,79
92114,San Diego,San Diego County,80
92115,San Diego,San Diego County,78
92116,San Diego,San Diego County,79
92117,San Diego,San Diego County,81
92119,San Diego,San Diego County,80
92120,San Diego,San Diego County,75
92121,San Diego,San Diego County,79
92122,San Diego,San Diego County,67
92123,San Diego,San Diego County,78
92124,San Diego,San Diego County,75
92126,San Diego,San Diego County,79
92127,San Diego,San Diego County,65
92128,San Diego,San Diego County,72
92129,San Diego,San Diego County,73
92130,San Diego,San Diego County,72
92131,San Diego,San Diego County,73
92132,San Diego,San Diego County,62
92139,San Diego,San Diego County,91
92142,San Diego,San Diego County,/
92154,San Diego,San Diego County,89
92160,San Diego,San Diego County,/
92165,San Diego,San Diego County,/
92170,San Diego,San Diego County,/
92171,San Diego,San Diego County,/
92193,San Diego,San Diego County,/
92195,San Diego,San Diego County,/
92196,San Diego,San Diego County,/
92197,San Diego,San Diego County,86
92501,Riverside,Riverside County,71
92503,Riverside,Riverside County,67
92504,Riverside,Riverside County,71
92505,Riverside,Riverside County,69
92506,Riverside,Riverside County,60
92507,Riverside,Riverside County,63
92508,Riverside,Riverside County,66
92509,Riverside,Riverside County,69
92513,Riverside,Riverside County,/
92517,Riverside,Riverside County,/
92519,Riverside,Riverside County,/
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
