,PERIOD_BEGIN,PERIOD_END,TABLE_ID,Zip Code,County,MEDIAN_SALE_PRICE,MEDIAN_SALE_PRICE_MOM,MEDIAN_SALE_PRICE_YOY,MEDIAN_LIST_PRICE,MEDIAN_LIST_PRICE_MOM,MEDIAN_LIST_PRICE_YOY,MEDIAN_PPSF,MEDIAN_PPSF_MOM,MEDIAN_PPSF_YOY,MEDIAN_LIST_PPSF,MEDIAN_LIST_PPSF_MOM,MEDIAN_LIST_PPSF_YOY,HOMES_SOLD,HOMES_SOLD_MOM,HOMES_SOLD_YOY,PENDING_SALES,PENDING_SALES_MOM,PENDING_SALES_YOY,NEW_LISTINGS,NEW_LISTINGS_MOM,NEW_LISTINGS_YOY,INVENTORY,INVENTORY_MOM,INVENTORY_YOY,MEDIAN_DOM,MEDIAN_DOM_MOM,MEDIAN_DOM_YOY,AVG_SALE_TO_LIST,AVG_SALE_TO_LIST_MOM,AVG_SALE_TO_LIST_YOY,SOLD_ABOVE_LIST,SOLD_ABOVE_LIST_MOM,SOLD_ABOVE_LIST_YOY,OFF_MARKET_IN_TWO_WEEKS,OFF_MARKET_IN_TWO_WEEKS_MOM,OFF_MARKET_IN_TWO_WEEKS_YOY,PARENT_METRO_REGION,PARENT_METRO_REGION_METRO_CODE,has_2025,latest_period,Market_Score
0,2025-10-01,2025-12-31,37448,90001,Los Angeles County,645000.0,0.057377049,0.089527027,732500.0,0.058526012,-0.023333333,537.4203822,0.047280745,0.004742454,478.4160656,-0.017452901,-0.008780165,27,0.421052632,0.08,30.0,0.2,-0.189189189,36.0,0.0,0.090909091,35.0,-0.31372549,-0.3,109.0,48.5,75.0,0.990321862,0.004424473,0.008520933,0.296296296,-0.177387914,-0.183703704,0.266666667,-0.053333333,0.05045045,"Los Angeles, CA",31084,True,True,49.0
1,2025-04-01,2025-06-30,37449,90002,Los Angeles County,587500.0,0.004273504,-0.0562249,650000.0,0.001540832,0.069959728,552.0958383,0.025605062,0.139380203,482.2508039,0.013468612,0.018924546,52,-0.087719298,0.268292683,51.0,-0.019230769,0.040816327,57.0,-0.095238095,0.017857143,60.0,0.071428571,0.304347826,69.0,5.5,29.0,0.997316847,-0.004591188,-0.017464558,0.461538462,0.04048583,-0.148217636,0.235294118,0.023755656,-0.132052821,"Los Angeles, CA",31084,True,True,69.0
2,2025-05-01,2025-07-31,37450,90003,Los Angeles County,662500.0,-0.003759398,0.043307087,650000.0,-0.012908125,0.00015387,460.2340792,-0.016414025,-0.031993064,484.6246973,0.024284428,-0.052289481,46,-0.021276596,-0.041666667,56.0,-0.01754386,-0.096774194,82.0,-0.163265306,0.123287671,99.0,-0.038834951,0.151162791,54.0,3.5,8.0,0.981884433,0.00340728,-0.009587454,0.47826087,-0.032377428,-0.000905797,0.142857143,-0.085213033,-0.131336406,"Los Angeles, CA",31084,True,True,57.0
3,2025-05-01,2025-07-31,37452,90005,Los Angeles County,1260000.0,-0.131034483,0.263157895,995000.0,-0.115555556,-0.004004004,653.2066508,-0.053217326,0.044599579,616.7108753,0.045245868,-0.011590599,19,0.117647059,0.0,20.0,0.0,-0.090909091,31.0,-0.162162162,-0.060606061,40.0,-0.130434783,0.111111111,73.0,-7.0,40.0,0.962205744,0.001463231,-0.008405786,0.263157895,0.027863777,0.105263158,0.15,0.0,-0.168181818,"Los Angeles, CA",31084,True,True,31.0
4,2024-11-01,2025-01-31,37453,90006,Los Angeles County,794500.0,0.119014085,-0.025153374,939000.0,-0.041292815,0.048576214,550.854103,0.002401688,0.069091845,527.4885845,0.009042323,-0.022215443,12,-0.076923077,-0.368421053,21.0,0.4,-0.045454545,51.0,0.108695652,1.217391304,75.0,0.209677419,0.923076923,66.0,3.0,-20.0,0.986939019,0.012505579,0.003728318,0.333333333,0.102564103,0.070175439,0.285714286,0.085714286,0.103896104,"Los Angeles, CA",31084,True,True,49.0
5,2025-02-01,2025-04-30,37454,90007,Los Angeles County,1222500.0,0.101351351,0.2249499,1225000.0,-0.057692308,0.226226226,481.5184851,-0.091814266,-0.302147123,458.8217196,-0.0546816,-0.235169662,10,0.111111111,0.428571429,10.0,0.111111111,0.111111111,28.0,0.166666667,0.12,45.0,0.022727273,0.184210526,74.5,4.5,-8.5,0.946323313,-0.005168257,-0.003360429,0.2,-0.133333333,0.057142857,0.1,0.1,-0.233333333,"Los Angeles, CA",31084,True,True,15.0
6,2025-05-01,2025-07-31,37457,90010,Los Angeles County,875000.0,0.054216867,-0.046321526,687000.0,-0.186500888,-0.135305223,653.680064,-0.050648376,0.011027321,648.6203719,-0.064671751,-0.065333809,4,-0.428571429,-0.666666667,3.0,-0.4,-0.833333333,18.0,0.125,-0.470588235,30.0,0.25,0.034482759,72.0,-4.0,42.0,0.975170451,0.015221707,-0.009138942,0.25,0.25,0.166666667,0.0,0.0,-0.5,"Los Angeles, CA",31084,True,True,44.0
7,2025-07-01,2025-09-30,37461,90014,Los Angeles County,406000.0,0.015,-0.087640449,599000.0,-0.161650918,-0.385640711,523.3016983,0.022995801,-0.082752079,684.7726679,0.06180954,0.116393969,6,0.2,-0.142857143,5.0,-0.166666667,-0.375,8.0,-0.333333333,1.0,22.0,-0.083333333,0.375,126.0,-1.0,9.0,0.965745003,-0.000594443,0.006284523,0.333333333,-0.066666667,0.333333333,0.0,0.0,0.0,"Los Angeles, CA",31084,True,True,17.0
8,2025-03-01,2025-05-31,37462,90015,Los Angeles County,845000.0,0.305019305,0.335968379,686950.0,0.045585997,-0.006579899,663.7931034,0.014699692,0.012452107,629.8756894,-0.00011604,-0.108429175,21,0.4,-0.275862069,22.0,0.222222222,-0.153846154,74.0,0.027777778,0.15625,101.0,-0.114035088,0.24691358,136.0,0.0,53.0,0.971523523,0.002183145,-0.003380108,0.095238095,-0.038095238,-0.111658457,0.045454545,-0.065656566,-0.108391608,"Los Angeles, CA",31084,True,True,27.0
9,2025-06-01,2025-08-31,37463,90016,Los Angeles County,1000000.0,0.003009027,-0.090909091,1000000.0,-0.110320285,-0.069767442,726.7144319,0.002169663,0.10060281,647.6677461,-0.001205201,-0.038513861,53,0.127659575,-0.220588235,69.0,0.014705882,0.078125,91.0,-0.09,0.034090909,104.0,-0.118644068,0.168539326,50.0,3.5,8.0,1.012580461,0.012705679,0.006551707,0.490566038,0.065034123,0.078801332,0.217391304,0.011508951,-0.126358696,"Los Angeles, CA",31084,True,True,63.0
10,2025-04-01,2025-06-30,37464,90017,Los Angeles County,615000.0,0.060344828,0.139099833,599000.0,-0.032310178,0.00251046,739.7959184,0.147605857,0.269235462,779.375,0.023853499,0.043939444,9,-0.1,-0.4375,13.0,0.0,-0.35,43.0,-0.173076923,-0.022727273,91.0,0.0,0.034090909,99.0,-108.5,1.0,0.93883367,-0.002411818,-0.050222184,0.0,-0.1,-0.0625,0.0,0.0,-0.05,"Los Angeles, CA",31084,True,True,21.0
11,2025-08-01,2025-10-31,37466,90019,Los Angeles County,1240000.0,-0.030492572,-0.081481481,1577000.0,0.087586207,0.087586582,742.7638561,0.064539769,0.246678158,671.5879296,-0.003429033,0.067137271,50,-0.122807018,-0.122807018,62.0,0.192307692,-0.184210526,94.0,0.08045977,-0.160714286,118.0,0.0,-0.063492063,61.5,-0.5,-3.5,0.986786521,-0.006800934,-0.012765151,0.26,-0.003157895,-0.108421053,0.14516129,-0.047146402,-0.012733447,"Los Angeles, CA",31084,True,True,46.0
12,2025-07-01,2025-09-30,37467,90020,Los Angeles County,985000.0,-0.015,0.279220779,663500.0,-0.036310821,-0.185889571,653.8358549,-0.029461377,-0.019246218,605.7620514,-0.007511854,-0.135872578,16,-0.2,-0.407407407,20.0,-0.2,-0.444444444,42.0,-0.086956522,0.135135135,59.0,0.092592593,0.966666667,57.5,-12.5,20.5,0.967400346,-0.003158957,-0.01725386,0.1875,-0.0625,0.039351852,0.1,-0.06,-0.261111111,"Los Angeles, CA",31084,True,True,34.0
13,2025-06-01,2025-08-31,37470,90023,Los Angeles County,685000.0,-0.050589051,-0.016157989,685000.0,0.003736537,0.0,526.976496,-0.038630871,-0.167962217,491.0714286,0.010508842,-0.000776398,20,0.111111111,1.0,23.0,-0.041666667,0.4375,29.0,-0.236842105,0.380952381,32.0,-0.085714286,0.0,57.0,-2.0,30.0,0.999481329,-0.013953263,-0.006674521,0.35,-0.038888889,-0.15,0.043478261,0.001811594,-0.331521739,"Los Angeles, CA",31084,True,True,50.0
14,2025-09-01,2025-11-30,37471,90024,Los Angeles County,1627000.0,0.069690993,0.328163265,1729000.0,0.02611276,0.084012539,791.1814026,-0.005696621,-0.003473806,791.4659326,-0.015000275,-0.10836416,70,-0.027777778,-0.066666667,78.0,-0.093023256,0.083333333,121.0,-0.083333333,0.24742268,151.0,-0.106508876,0.078571429,78.0,-4.0,2.0,0.973867516,0.01086747,-0.005109194,0.185714286,0.074603175,-0.107619048,0.192307692,0.017889088,0.011752137,"Los Angeles, CA",31084,True,True,50.0
15,2025-09-01,2025-11-30,37472,90025,Los Angeles County,1081000.0,0.036433365,-0.043362832,1164000.0,0.0,0.00822867,688.139081,-0.023497876,-0.029182337,738.2075472,0.015881946,-0.040874704,80,0.012658228,0.290322581,79.0,-0.168421053,0.128571429,95.0,-0.095238095,-0.068627451,80.0,-0.183673469,-0.036144578,53.0,2.0,-1.0,0.991063643,0.000494249,-0.013798906,0.2125,-0.053322785,-0.174596774,0.316455696,0.021718854,0.045027125,"Los Angeles, CA",31084,True,True,55.0
