Variable,Reference_rows,Full_period_rows,Reference_median,Full_period_median,Reference_P01,Reference_P99,Full_period_P01,Full_period_P99,Full_period_below_reference_P01_pct,Full_period_above_reference_P99_pct,KS_statistic,KS_p_value,Wasserstein_distance
MarketScore_hat,83,12445,63.0,72.0,25.82,85.07999999999996,0.0,100.0,3.310566492567296,17.701888308557653,0.3084424479759133,2.0021448833541686e-07,9.52904103355971
MEDIAN_SALE_PRICE_MOM,83,12263,0.00591716,0.002173913,-0.20180663016,0.620359353279993,-0.2672938353,0.4331401868799997,1.6635407322841067,0.5300497431297398,0.08471855291998953,0.569110159150448,0.025463221718735624
MEDIAN_LIST_PRICE_MOM,83,12054,-0.002750076,0.0005008765,-0.16744377476,0.09357466653999982,-0.26822113165999995,0.3840450630499978,2.2399203583872573,8.080305292848847,0.2014279117465382,0.0021559008276711288,0.03776792886612884
MEDIAN_LIST_PPSF_MOM,83,12047,-0.001205201,0.003008891,-0.11906447916,0.11062769107999951,-0.19036897682,0.24365841351999995,2.066904623557732,3.2871254254171167,0.14680053325279202,0.05249938424385624,0.013783114468624572
HOMES_SOLD,83,12445,53.0,58.0,2.0,160.25999999999993,1.0,283.5599999999995,4.178384893531539,8.798714343109683,0.13914525115326715,0.07573824736965999,15.469301553340724
NEW_LISTINGS_YOY,83,11727,0.073394495,-0.017094017,-0.49218156528,1.0391304347199983,-0.6,1.6587878789399935,2.8054916005798582,1.7054660185895794,0.23977105659784184,0.0001239483204416524,0.12712199077287295
MEDIAN_DOM,83,12425,53.0,41.0,18.42,127.79999999999993,8.0,232.14000000000033,9.38430583501006,3.7344064386317903,0.23388620881918015,0.00019868864447667635,14.166784805216867
AVG_SALE_TO_LIST,83,12445,0.988195017,0.993058802,0.92946081512,1.0588615487799997,0.891713056,1.06608423724,2.9409401366010446,1.5347529128163921,0.18144026487629905,0.007803596882857826,0.007808660790079729
SOLD_ABOVE_LIST,83,12445,0.317073171,0.352112676,0.0,0.6299740262599999,0.0,1.0,0.0,9.377259943752511,0.1597883700329643,0.026944852839801355,0.053795750696967376
OFF_MARKET_IN_TWO_WEEKS,83,12345,0.24137931,0.333333333,0.0,0.5447840532199991,0.0,1.0,0.0,12.928311057108141,0.34785752975449796,2.2651944253802432e-09,0.10728586901606815
