Incompatible_group,Variable,Selection_strength,Decision,Retained_variable
1,MEDIAN_SALE_PRICE,0.11045658384179753,EXCLUDE,MEDIAN_SALE_PRICE_MOM
1,MEDIAN_SALE_PRICE_MOM,0.1479221304786372,RETAIN,MEDIAN_SALE_PRICE_MOM
1,MEDIAN_SALE_PRICE_YOY,0.13879119445708962,EXCLUDE,MEDIAN_SALE_PRICE_MOM
2,MEDIAN_LIST_PRICE,0.06437572977680292,EXCLUDE,MEDIAN_LIST_PRICE_MOM
2,MEDIAN_LIST_PRICE_MOM,0.11036088145473945,RETAIN,MEDIAN_LIST_PRICE_MOM
2,MEDIAN_LIST_PRICE_YOY,0.026135901872797133,EXCLUDE,MEDIAN_LIST_PRICE_MOM
3,MEDIAN_PPSF,0.01185507367400157,EXCLUDE,MEDIAN_PPSF_MOM
3,MEDIAN_PPSF_MOM,0.018186975509716603,RETAIN,MEDIAN_PPSF_MOM
3,MEDIAN_PPSF_YOY,0.007245350606785725,EXCLUDE,MEDIAN_PPSF_MOM
4,MEDIAN_LIST_PPSF,0.030808490841027998,EXCLUDE,MEDIAN_LIST_PPSF_MOM
4,MEDIAN_LIST_PPSF_MOM,0.09888328502043649,RETAIN,MEDIAN_LIST_PPSF_MOM
4,MEDIAN_LIST_PPSF_YOY,0.0601049085119442,EXCLUDE,MEDIAN_LIST_PPSF_MOM
5,HOMES_SOLD,0.3407212843799568,RETAIN,HOMES_SOLD
5,HOMES_SOLD_MOM,0.051480091805710594,EXCLUDE,HOMES_SOLD
5,HOMES_SOLD_YOY,0.12132207715134044,EXCLUDE,HOMES_SOLD
6,PENDING_SALES,0.31050129582795005,RETAIN,PENDING_SALES
6,PENDING_SALES_MOM,0.13555449377880097,EXCLUDE,PENDING_SALES
6,PENDING_SALES_YOY,0.003612553950585733,EXCLUDE,PENDING_SALES
7,NEW_LISTINGS,0.17229630334384935,EXCLUDE,NEW_LISTINGS_YOY
7,NEW_LISTINGS_MOM,0.0054771935122993835,EXCLUDE,NEW_LISTINGS_YOY
7,NEW_LISTINGS_YOY,0.180045491498004,RETAIN,NEW_LISTINGS_YOY
8,INVENTORY,0.16085569810222564,EXCLUDE,INVENTORY_MOM
8,INVENTORY_MOM,0.16366501985728812,RETAIN,INVENTORY_MOM
8,INVENTORY_YOY,0.01513815073228768,EXCLUDE,INVENTORY_MOM
9,MEDIAN_DOM,0.7961023105463377,RETAIN,MEDIAN_DOM
9,MEDIAN_DOM_MOM,0.04109308437419183,EXCLUDE,MEDIAN_DOM
9,MEDIAN_DOM_YOY,0.3009841430003184,EXCLUDE,MEDIAN_DOM
10,AVG_SALE_TO_LIST,0.5277030358608937,RETAIN,AVG_SALE_TO_LIST
10,AVG_SALE_TO_LIST_MOM,0.15575403702964155,EXCLUDE,AVG_SALE_TO_LIST
10,AVG_SALE_TO_LIST_YOY,0.04411263463638671,EXCLUDE,AVG_SALE_TO_LIST
11,SOLD_ABOVE_LIST,0.48270960332659374,RETAIN,SOLD_ABOVE_LIST
11,SOLD_ABOVE_LIST_MOM,0.06528165901795195,EXCLUDE,SOLD_ABOVE_LIST
11,SOLD_ABOVE_LIST_YOY,0.11753280420338219,EXCLUDE,SOLD_ABOVE_LIST
12,OFF_MARKET_IN_TWO_WEEKS,0.6750388995574468,RETAIN,OFF_MARKET_IN_TWO_WEEKS
12,OFF_MARKET_IN_TWO_WEEKS_MOM,0.00716345189138895,EXCLUDE,OFF_MARKET_IN_TWO_WEEKS
12,OFF_MARKET_IN_TWO_WEEKS_YOY,0.0854903355152181,EXCLUDE,OFF_MARKET_IN_TWO_WEEKS
13,County,0.3122695730133669,RETAIN,County
13,PARENT_METRO_REGION,0.31226942854086126,EXCLUDE,County
