encoded_feature,original_variable,category_level,coefficient,selected,expected_sign,sign_check,p_value_test_type,p_value
MEDIAN_SALE_PRICE_MOM,MEDIAN_SALE_PRICE_MOM,,0.7817364159142296,True,positive,PASS,t,0.46417112265705296
MEDIAN_LIST_PRICE_MOM,MEDIAN_LIST_PRICE_MOM,,0.6967925684338091,True,positive,PASS,t,0.14568706640130744
MEDIAN_PPSF_MOM,MEDIAN_PPSF_MOM,,-1.5504913505040487,True,positive,FAIL,t,0.0223721946400795
MEDIAN_LIST_PPSF_MOM,MEDIAN_LIST_PPSF_MOM,,1.9013774482280874,True,positive,PASS,t,0.09887212779751745
HOMES_SOLD,HOMES_SOLD,,0.7152843746873554,True,positive,PASS,t,0.7713826285875843
NEW_LISTINGS_YOY,NEW_LISTINGS_YOY,,-1.6789008226699946,True,unconstrained,NOT_APPLICABLE,t,0.029837591586035068
INVENTORY_MOM,INVENTORY_MOM,,0.406723153103652,True,negative,FAIL,t,0.34455112415712397
MEDIAN_DOM,MEDIAN_DOM,,-6.9545869065708255,True,negative,PASS,t,0.0010603504202104739
AVG_SALE_TO_LIST,AVG_SALE_TO_LIST,,1.7485233710727848,True,positive,PASS,t,0.04691166442328577
SOLD_ABOVE_LIST,SOLD_ABOVE_LIST,,2.7498129416057595,True,positive,PASS,t,0.04805371787415711
OFF_MARKET_IN_TWO_WEEKS,OFF_MARKET_IN_TWO_WEEKS,,4.868400499770569,True,positive,PASS,t,0.00016722575191453735
County_Los Angeles County,County,Los Angeles County,-0.5331183817396435,True,not_applicable,NOT_APPLICABLE,joint_F,0.4068573911498366
