Zip Code,City,County,PERIOD,MarketScore_hat
90001,Los Angeles,Los Angeles County,2012-09,65
90001,Los Angeles,Los Angeles County,2013-01,72
90001,Los Angeles,Los Angeles County,2013-08,74
90001,Los Angeles,Los Angeles County,2017-01,57
90001,Los Angeles,Los Angeles County,2019-02,67
90001,Los Angeles,Los Angeles County,2019-04,76
90001,Los Angeles,Los Angeles County,2020-08,77
90001,Los Angeles,Los Angeles County,2021-09,80
90001,Los Angeles,Los Angeles County,2022-05,77
90001,Los Angeles,Los Angeles County,2024-06,79
90001,Los Angeles,Los Angeles County,2024-08,75
90001,Los Angeles,Los Angeles County,2024-09,68
90001,Los Angeles,Los Angeles County,2025-06,61
90001,Los Angeles,Los Angeles County,2025-08,59
90001,Los Angeles,Los Angeles County,2025-10,58
90001,Los Angeles,Los Angeles County,2025-12,45
90002,Los Angeles,Los Angeles County,2012-04,62
90002,Los Angeles,Los Angeles County,2013-06,77
90002,Los Angeles,Los Angeles County,2013-08,76
90002,Los Angeles,Los Angeles County,2013-12,70
90002,Los Angeles,Los Angeles County,2015-10,67
90002,Los Angeles,Los Angeles County,2016-02,68
90002,Los Angeles,Los Angeles County,2016-09,78
90002,Los Angeles,Los Angeles County,2016-12,75
90002,Los Angeles,Los Angeles County,2017-08,75
90002,Los Angeles,Los Angeles County,2017-12,74
90002,Los Angeles,Los Angeles County,2018-03,71
90002,Los Angeles,Los Angeles County,2020-04,65
90002,Los Angeles,Los Angeles County,2020-08,71
90002,Los Angeles,Los Angeles County,2020-10,76
90002,Los Angeles,Los Angeles County,2021-08,89
90002,Los Angeles,Los Angeles County,2022-06,84
90002,Los Angeles,Los Angeles County,2022-07,83
90002,Los Angeles,Los Angeles County,2022-10,71
90002,Los Angeles,Los Angeles County,2023-01,57
90002,Los Angeles,Los Angeles County,2024-02,72
90002,Los Angeles,Los Angeles County,2025-04,60
90002,Los Angeles,Los Angeles County,2025-06,61
90003,Los Angeles,Los Angeles County,2012-08,63
90003,Los Angeles,Los Angeles County,2012-12,73
90003,Los Angeles,Los Angeles County,2013-04,70
90003,Los Angeles,Los Angeles County,2013-10,71
90003,Los Angeles,Los Angeles County,2014-05,73
90003,Los Angeles,Los Angeles County,2014-06,69
90003,Los Angeles,Los Angeles County,2015-05,68
90003,Los Angeles,Los Angeles County,2015-06,68
90003,Los Angeles,Los Angeles County,2015-07,69
90003,Los Angeles,Los Angeles County,2015-10,60
90003,Los Angeles,Los Angeles County,2016-06,66
90003,Los Angeles,Los Angeles County,2018-06,66
90003,Los Angeles,Los Angeles County,2018-07,71
90003,Los Angeles,Los Angeles County,2018-10,65
90003,Los Angeles,Los Angeles County,2018-12,64
90003,Los Angeles,Los Angeles County,2020-05,66
90003,Los Angeles,Los Angeles County,2020-12,67
90003,Los Angeles,Los Angeles County,2021-03,64
90003,Los Angeles,Los Angeles County,2022-08,69
90003,Los Angeles,Los Angeles County,2023-05,71
90003,Los Angeles,Los Angeles County,2023-09,76
90003,Los Angeles,Los Angeles County,2023-10,71
90003,Los Angeles,Los Angeles County,2024-07,68
90003,Los Angeles,Los Angeles County,2025-03,59
90003,Los Angeles,Los Angeles County,2025-06,66
90003,Los Angeles,Los Angeles County,2025-07,61
90004,Los Angeles,Los Angeles County,2012-07,77
90004,Los Angeles,Los Angeles County,2016-05,71
90004,Los Angeles,Los Angeles County,2017-02,63
90004,Los Angeles,Los Angeles County,2018-12,54
90004,Los Angeles,Los Angeles County,2019-02,57
90004,Los Angeles,Los Angeles County,2019-07,63
90004,Los Angeles,Los Angeles County,2020-01,52
90004,Los Angeles,Los Angeles County,2020-09,75
90004,Los Angeles,Los Angeles County,2020-11,64
90004,Los Angeles,Los Angeles County,2021-05,74
90004,Los Angeles,Los Angeles County,2022-04,77
90004,Los Angeles,Los Angeles County,2022-06,79
90004,Los Angeles,Los Angeles County,2022-10,63
90004,Los Angeles,Los Angeles County,2024-08,71
90004,Los Angeles,Los Angeles County,2024-11,65
90005,Los Angeles,Los Angeles County,2012-07,68
90005,Los Angeles,Los Angeles County,2012-10,73
90005,Los Angeles,Los Angeles County,2013-03,81
90005,Los Angeles,Los Angeles County,2013-06,64
90005,Los Angeles,Los Angeles County,2014-08,62
90005,Los Angeles,Los Angeles County,2014-11,57
90005,Los Angeles,Los Angeles County,2015-08,73
90005,Los Angeles,Los Angeles County,2015-12,60
90005,Los Angeles,Los Angeles County,2016-02,62
90005,Los Angeles,Los Angeles County,2017-05,57
90005,Los Angeles,Los Angeles County,2018-04,73
90005,Los Angeles,Los Angeles County,2019-03,65
90005,Los Angeles,Los Angeles County,2020-10,61
90005,Los Angeles,Los Angeles County,2021-04,51
90005,Los Angeles,Los Angeles County,2021-09,70
90005,Los Angeles,Los Angeles County,2021-11,59
90005,Los Angeles,Los Angeles County,2022-01,48
90005,Los Angeles,Los Angeles County,2024-04,63
90005,Los Angeles,Los Angeles County,2025-07,51
90006,Los Angeles,Los Angeles County,2012-03,64
90006,Los Angeles,Los Angeles County,2013-06,73
90006,Los Angeles,Los Angeles County,2013-10,58
90006,Los Angeles,Los Angeles County,2015-10,60
90006,Los Angeles,Los Angeles County,2016-03,66
90006,Los Angeles,Los Angeles County,2016-06,68
90006,Los Angeles,Los Angeles County,2017-05,75
90006,Los Angeles,Los Angeles County,2018-04,49
90006,Los Angeles,Los Angeles County,2018-07,67
90006,Los Angeles,Los Angeles County,2018-12,67
90006,Los Angeles,Los Angeles County,2019-02,57
90006,Los Angeles,Los Angeles County,2020-05,59
90006,Los Angeles,Los Angeles County,2021-04,48
90006,Los Angeles,Los Angeles County,2023-03,52
90006,Los Angeles,Los Angeles County,2024-10,46
90006,Los Angeles,Los Angeles County,2025-01,55
90007,Los Angeles,Los Angeles County,2013-04,74
90007,Los Angeles,Los Angeles County,2015-09,64
90007,Los Angeles,Los Angeles County,2015-12,68
90007,Los Angeles,Los Angeles County,2016-01,77
90007,Los Angeles,Los Angeles County,2017-02,69
90007,Los Angeles,Los Angeles County,2017-10,53
90007,Los Angeles,Los Angeles County,2017-12,47
90007,Los Angeles,Los Angeles County,2019-07,71
90007,Los Angeles,Los Angeles County,2020-01,72
90007,Los Angeles,Los Angeles County,2020-02,35
90007,Los Angeles,Los Angeles County,2020-08,61
90007,Los Angeles,Los Angeles County,2022-05,69
90007,Los Angeles,Los Angeles County,2022-06,75
90007,Los Angeles,Los Angeles County,2023-04,57
90007,Los Angeles,Los Angeles County,2025-01,44
90007,Los Angeles,Los Angeles County,2025-04,43
90008,Los Angeles,Los Angeles County,2012-12,73
90008,Los Angeles,Los Angeles County,2014-07,74
90008,Los Angeles,Los Angeles County,2015-04,72
90008,Los Angeles,Los Angeles County,2015-05,76
90008,Los Angeles,Los Angeles County,2016-08,81
90008,Los Angeles,Los Angeles County,2016-09,87
90008,Los Angeles,Los Angeles County,2016-12,79
90008,Los Angeles,Los Angeles County,2017-11,90
90008,Los Angeles,Los Angeles County,2019-03,63
90008,Los Angeles,Los Angeles County,2019-12,60
90008,Los Angeles,Los Angeles County,2021-10,78
90008,Los Angeles,Los Angeles County,2021-12,74
90008,Los Angeles,Los Angeles County,2023-04,59
90008,Los Angeles,Los Angeles County,2024-06,67
90008,Los Angeles,Los Angeles County,2024-10,67
90010,Los Angeles,Los Angeles County,2013-11,53
90010,Los Angeles,Los Angeles County,2013-12,51
90010,Los Angeles,Los Angeles County,2014-04,61
90010,Los Angeles,Los Angeles County,2015-02,55
90010,Los Angeles,Los Angeles County,2015-05,75
90010,Los Angeles,Los Angeles County,2015-07,78
90010,Los Angeles,Los Angeles County,2015-12,42
90010,Los Angeles,Los Angeles County,2016-07,72
90010,Los Angeles,Los Angeles County,2016-12,52
90010,Los Angeles,Los Angeles County,2017-03,45
90010,Los Angeles,Los Angeles County,2017-06,56
90010,Los Angeles,Los Angeles County,2018-11,70
90010,Los Angeles,Los Angeles County,2019-08,64
90010,Los Angeles,Los Angeles County,2020-11,50
90010,Los Angeles,Los Angeles County,2021-08,64
90010,Los Angeles,Los Angeles County,2021-12,63
90010,Los Angeles,Los Angeles County,2023-07,63
90010,Los Angeles,Los Angeles County,2023-12,48
90010,Los Angeles,Los Angeles County,2024-02,42
90010,Los Angeles,Los Angeles County,2024-03,48
90010,Los Angeles,Los Angeles County,2024-08,55
90010,Los Angeles,Los Angeles County,2024-09,51
90010,Los Angeles,Los Angeles County,2024-12,44
90010,Los Angeles,Los Angeles County,2025-06,40
90010,Los Angeles,Los Angeles County,2025-07,43
90011,Los Angeles,Los Angeles County,2012-06,74
90011,Los Angeles,Los Angeles County,2015-02,62
