Zip Code,City,County,PERIOD,MarketScore_hat
90001,Los Angeles,Los Angeles County,2025-12,45
90002,Los Angeles,Los Angeles County,2025-06,61
90003,Los Angeles,Los Angeles County,2025-07,61
90005,Los Angeles,Los Angeles County,2025-07,51
90006,Los Angeles,Los Angeles County,2025-01,55
90007,Los Angeles,Los Angeles County,2025-04,43
90010,Los Angeles,Los Angeles County,2025-07,43
90014,Los Angeles,Los Angeles County,2025-09,26
90015,Los Angeles,Los Angeles County,2025-05,25
90016,Los Angeles,Los Angeles County,2025-08,66
90017,Los Angeles,Los Angeles County,2025-06,32
90019,Los Angeles,Los Angeles County,2025-10,56
90020,Los Angeles,Los Angeles County,2025-09,50
90023,Los Angeles,Los Angeles County,2025-08,52
90024,Los Angeles,Los Angeles County,2025-11,49
90025,Los Angeles,Los Angeles County,2025-11,66
90027,Los Angeles,Los Angeles County,2025-07,59
90028,Los Angeles,Los Angeles County,2025-11,31
90032,Los Angeles,Los Angeles County,2025-09,64
90033,Los Angeles,Los Angeles County,2025-05,53
90035,Los Angeles,Los Angeles County,2025-10,43
90036,Los Angeles,Los Angeles County,2025-12,53
90039,Los Angeles,Los Angeles County,2025-04,79
90040,Los Angeles,Los Angeles County,2025-07,75
90041,Los Angeles,Los Angeles County,2025-10,77
90042,Los Angeles,Los Angeles County,2025-10,66
90044,Los Angeles,Los Angeles County,2025-05,57
90045,Los Angeles,Los Angeles County,2025-08,64
90048,Los Angeles,Los Angeles County,2025-11,43
90049,Los Angeles,Los Angeles County,2025-11,52
90056,Los Angeles,Los Angeles County,2025-03,41
90057,Los Angeles,Los Angeles County,2025-12,64
90058,Los Angeles,Los Angeles County,2025-12,15
90059,Los Angeles,Los Angeles County,2025-07,74
90061,Los Angeles,Los Angeles County,2025-08,74
90062,Los Angeles,Los Angeles County,2025-11,49
90064,Los Angeles,Los Angeles County,2025-07,76
90065,Los Angeles,Los Angeles County,2025-10,63
90066,Los Angeles,Los Angeles County,2025-01,60
90067,Los Angeles,Los Angeles County,2025-12,45
90068,Los Angeles,Los Angeles County,2025-03,48
90069,West Hollywood,Los Angeles County,2025-04,48
90077,Los Angeles,Los Angeles County,2025-09,40
90094,Los Angeles,Los Angeles County,2025-02,63
90201,Bell,Los Angeles County,2025-04,66
90210,Beverly Hills,Los Angeles County,2025-12,35
90211,Beverly Hills,Los Angeles County,2025-09,68
90212,Beverly Hills,Los Angeles County,2025-08,62
90213,Beverly Hills,Los Angeles County,2025-04,9
90220,Compton,Los Angeles County,2025-07,66
90222,Compton,Los Angeles County,2025-01,65
90232,Culver City,Los Angeles County,2025-09,65
90240,Downey,Los Angeles County,2025-01,60
90241,Downey,Los Angeles County,2025-08,77
90242,Downey,Los Angeles County,2025-08,83
90245,El Segundo,Los Angeles County,2025-12,62
90247,Gardena,Los Angeles County,2025-08,74
90248,Gardena,Los Angeles County,2025-10,76
