Zip Code,City,County,PERIOD,MarketScore_hat,MEDIAN_SALE_PRICE_MOM,MEDIAN_LIST_PRICE_MOM,MEDIAN_LIST_PPSF_MOM,HOMES_SOLD,NEW_LISTINGS_YOY,MEDIAN_DOM,AVG_SALE_TO_LIST,SOLD_ABOVE_LIST,OFF_MARKET_IN_TWO_WEEKS
90001,Los Angeles,Los Angeles County,2025-12,45,0.057377049,0.058526012,-0.017452901,27,0.090909091,109.0,0.990321862,0.296296296,0.266666667
90002,Los Angeles,Los Angeles County,2025-06,61,0.004273504,0.001540832,0.013468612,52,0.017857143,69.0,0.997316847,0.461538462,0.235294118
90003,Los Angeles,Los Angeles County,2025-07,61,-0.003759398,-0.012908125,0.024284428,46,0.123287671,54.0,0.981884433,0.47826087,0.142857143
90005,Los Angeles,Los Angeles County,2025-07,51,-0.131034483,-0.115555556,0.045245868,19,-0.060606061,73.0,0.962205744,0.263157895,0.15
90006,Los Angeles,Los Angeles County,2025-01,55,0.119014085,-0.041292815,0.009042323,12,1.217391304,66.0,0.986939019,0.333333333,0.285714286
90007,Los Angeles,Los Angeles County,2025-04,43,0.101351351,-0.057692308,-0.0546816,10,0.12,74.5,0.946323313,0.2,0.1
90010,Los Angeles,Los Angeles County,2025-07,43,0.054216867,-0.186500888,-0.064671751,4,-0.470588235,72.0,0.975170451,0.25,0.0
90014,Los Angeles,Los Angeles County,2025-09,26,0.015,-0.161650918,0.06180954,6,1.0,126.0,0.965745003,0.333333333,0.0
90015,Los Angeles,Los Angeles County,2025-05,25,0.305019305,0.045585997,-0.00011604,21,0.15625,136.0,0.971523523,0.095238095,0.045454545
90016,Los Angeles,Los Angeles County,2025-08,66,0.003009027,-0.110320285,-0.001205201,53,0.034090909,50.0,1.012580461,0.490566038,0.217391304
90017,Los Angeles,Los Angeles County,2025-06,32,0.060344828,-0.032310178,0.023853499,9,-0.022727273,99.0,0.93883367,0.0,0.0
90019,Los Angeles,Los Angeles County,2025-10,56,-0.030492572,0.087586207,-0.003429033,50,-0.160714286,61.5,0.986786521,0.26,0.14516129
90020,Los Angeles,Los Angeles County,2025-09,50,-0.015,-0.036310821,-0.007511854,16,0.135135135,57.5,0.967400346,0.1875,0.1
90023,Los Angeles,Los Angeles County,2025-08,52,-0.050589051,0.003736537,0.010508842,20,0.380952381,57.0,0.999481329,0.35,0.043478261
90024,Los Angeles,Los Angeles County,2025-11,49,0.069690993,0.02611276,-0.015000275,70,0.24742268,78.0,0.973867516,0.185714286,0.192307692
90025,Los Angeles,Los Angeles County,2025-11,66,0.036433365,0.0,0.015881946,80,-0.068627451,53.0,0.991063643,0.2125,0.316455696
90027,Los Angeles,Los Angeles County,2025-07,59,-0.035989717,-0.163260506,-0.008341928,54,0.47826087,42.0,0.981418252,0.351851852,0.15
90028,Los Angeles,Los Angeles County,2025-11,31,-0.196617336,0.054910243,-0.031108661,17,0.588235294,98.0,0.956400269,0.117647059,0.058823529
90032,Los Angeles,Los Angeles County,2025-09,64,-0.020172911,-0.005238684,0.020448502,64,0.480769231,57.0,1.006959652,0.453125,0.25
90033,Los Angeles,Los Angeles County,2025-05,53,-0.083769634,-0.070930233,0.014894895,11,0.25,64.0,0.944738874,0.363636364,0.157894737
